id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1162609,Lovely One Bedroom Apartment,6368122,Taylor,,Seacliff,37.78521732604545,-122.4886547609335,Entire home/apt,350,4,8,2015-09-17,0.28,1,90
6032828,Historic Seacliff Home,30384615,Patricia,,Seacliff,37.78365768872652,-122.48939776997223,Entire home/apt,300,1,0,,,1,173
6938818,Best Secret in Town,36381578,Harris,,Seacliff,37.78150459332211,-122.50475432865285,Private room,119,1,10,2015-10-08,2.33,1,341
8087607,Single Room Beautiful Beach Condo,3264449,Keith,,Seacliff,37.77531800696514,-122.511620556222,Private room,79,1,0,,,1,40
4781448,3 Bd 2.5 Ba Full Flat Condo w Views,13112558,Pam,,Seacliff,37.781796503922656,-122.49249210833337,Entire home/apt,695,2,1,2015-08-11,0.36,1,23
1931937,Blocks from GG Park & Ocean Beach,7932270,Noamy,,Seacliff,37.78156408540695,-122.49442445483002,Private room,80,2,24,2015-10-01,1.13,2,153
2134100,Ocean Beach hilltop cottage,10889606,Marty And Alexis,,Seacliff,37.78388809323231,-122.50855676227975,Entire home/apt,135,1,131,2015-10-16,6.09,1,338
4688930,Modern remodel + period charm,257986,Nathan,,Seacliff,37.78203449104474,-122.49421436394853,Entire home/apt,215,1,1,2015-05-24,0.18,1,156
2316478,2+BR Beach Cottage-w/Parking+Views,117610,Angeline,,Seacliff,37.779118193158624,-122.5130645565712,Entire home/apt,250,1,99,2015-10-20,4.95,3,342
3168359,Charming & Private Ideal location,16071511,Jamie,,Seacliff,37.77931903796439,-122.50963522313913,Entire home/apt,224,3,57,2015-10-09,3.94,2,119
8001958,Ocean and park front panoramic view,24591867,Raul,,Seacliff,37.780707805327296,-122.50915996453602,Entire home/apt,150,1,0,,,1,44
69681,Panorama Pacific View,127367,Annette,,Seacliff,37.77706906926253,-122.50923187258286,Entire home/apt,325,18,4,2014-08-12,0.08,15,356
8388658,Mid-century Seacliff near GG Bridge,9996441,Howard,,Seacliff,37.78766423088835,-122.48915222761799,Entire home/apt,675,3,0,,,1,44
5895521,Apartment share Buena Vista Park,4166765,Celine,,Haight Ashbury,37.765252385076195,-122.4441724124731,Private room,120,1,7,2015-10-24,3.96,1,198
7004908,Urban Sanctuary in the Heart of SF!,17170379,Nick,,Haight Ashbury,37.76483177826177,-122.44574785097795,Private room,136,4,9,2015-10-30,2.23,1,306
6837076,Charming 2BR APT in Ashbury Heights,8970891,James,,Haight Ashbury,37.76507577982939,-122.44458374818582,Entire home/apt,250,2,7,2015-10-11,2.96,1,338
7825720,Large Duboce Park Studio,32693892,Brian,,Haight Ashbury,37.769935380283506,-122.43652223421422,Shared room,100,1,0,,,1,330
8568925,"Cozy Vintage Room, Golden Gate Park",3285407,James,,Haight Ashbury,37.77460393121706,-122.45026069931362,Shared room,92,2,1,2015-10-17,1,2,365
746079,Castro/Corbett Heights Condo,1567365,Ian,,Haight Ashbury,37.76303493373032,-122.44956804902746,Private room,125,3,166,2015-10-21,4.55,1,276
1499843,Bedroom in stylish NOPA flat,3695323,Ruth,,Haight Ashbury,37.77594540279199,-122.43971170171527,Private room,185,1,6,2015-10-12,0.44,2,365
8473252,NOPA-Alamo Square Spot,482426,Mark,,Haight Ashbury,37.77432894659629,-122.43894089206921,Private room,200,5,0,,,1,17
4321720,Modern room with view of Alamo Sq,7628795,Michael And Novita,,Haight Ashbury,37.77469240947981,-122.43956326268159,Private room,165,2,25,2015-10-08,1.97,2,37
5031525,"Sunny, Spacious NOPA Garden Studio",21789834,Gabi,,Haight Ashbury,37.774778238079826,-122.44010951661937,Entire home/apt,185,3,19,2015-10-27,2.63,1,330
5286047,Stylish NOPA Pad,1674453,Adam,,Haight Ashbury,37.77612045160735,-122.44048032026961,Entire home/apt,225,1,10,2015-09-15,1.26,1,337
